bild,diktnummer,minnesanteckning,poang_officiell,poang_alla,kommentar,confidence,ovrig_text
P1159170.JPG,1,Rymsten,5,5,Spännande hela tiden,0.6,Jonas läser dikter
P1159170.JPG,2,- ontens uglicansk,3,3,Informationssrik,0.4,Jonas läser dikter
P1159170.JPG,3,Krcght,4.5,4.5,Vacker,0.5,Jonas läser dikter
P1159170.JPG,4,l-kelanpsek,5,5,++ Rolig + bra framförande,0.5,Jonas läser dikter
P1159170.JPG,5,Kiabarn,3,3,,0.5,Jonas läser dikter
P1159170.JPG,6,Blisen,4,4,,0.6,Jonas läser dikter
P1159170.JPG,7,Kärlek,3.5,3.5,,0.7,Jonas läser dikter
P1159170.JPG,8,Slagsmål,5,5,Toppenavslutning,0.4,Jonas läser dikter
P1159169.JPG,1,Kärstril,3,3,"Hördes dåligt ibland, intressant berättelse",0.45,Lycka till Jonas och så modigt att du ger Jonas läser dikter detta! / Den snarten: Jeniott & Kärleksdiktes
P1159169.JPG,2,Vänta,2,2,,0.4,Lycka till Jonas och så modigt att du ger Jonas läser dikter detta! / Den snarten: Jeniott & Kärleksdiktes
P1159169.JPG,3,Accept,3.5,3.5,Gillar oväntat slut,0.45,Lycka till Jonas och så modigt att du ger Jonas läser dikter detta! / Den snarten: Jeniott & Kärleksdiktes
P1159169.JPG,4,Lä/kärlekslek,4,4,Gillade dialogen,0.4,Lycka till Jonas och så modigt att du ger Jonas läser dikter detta! / Den snarten: Jeniott & Kärleksdiktes
P1159169.JPG,5,Hela havet shimmar,3.5,3.5,Fint avslut,0.4,Lycka till Jonas och så modigt att du ger Jonas läser dikter detta! / Den snarten: Jeniott & Kärleksdiktes
P1159169.JPG,6,Språkpoliser,4.25,4.25,"Blev snuten - genialt! Gillar att du ändrade rösten, finurligt",0.45,Lycka till Jonas och så modigt att du ger Jonas läser dikter detta! / Den snarten: Jeniott & Kärleksdiktes
P1159169.JPG,7,Kärleksdiktes,2.5,2.5,Annorlunda kärleksförklaring,0.4,Lycka till Jonas och så modigt att du ger Jonas läser dikter detta! / Den snarten: Jeniott & Kärleksdiktes
P1159169.JPG,8,Bröllstale,3,3,,0.45,Lycka till Jonas och så modigt att du ger Jonas läser dikter detta! / Den snarten: Jeniott & Kärleksdiktes
P1159175.JPG,1,UFO:N,"3,5","3,5",Härlig stuns i rytmen,0.8,Jonas läser dikter
P1159175.JPG,2,VÄNTAN,"2,8","2,8",,0.9,Jonas läser dikter
P1159175.JPG,3,RECEPT,3,3,Gulligt slut!,0.85,Jonas läser dikter
P1159175.JPG,4,LÄKARBESÖK,"3,7","3,7",Ljuvlig!,0.8,Jonas läser dikter
P1159175.JPG,5,KURATORN,4,4,Blev glad!,0.85,Jonas läser dikter
P1159175.JPG,6,POLIS,"2,6","2,6",Bra framförande,0.85,Jonas läser dikter
P1159175.JPG,7,KÄR,"2,5","2,5",,0.85,Jonas läser dikter
P1159175.JPG,8,GRÄL,"3,2","3,2",,0.85,Jonas läser dikter
P1159171.JPG,1,Depp,3,3,,0.55,Jonas läser dikter
P1159171.JPG,2,Recept,4,4,Kände för den i mitt hjärta,0.6,Jonas läser dikter
P1159171.JPG,3,Läkarbesk,3.5,3.5,Rolig,0.55,Jonas läser dikter
P1159171.JPG,4,,5,5,"Jättebra, rolig",0.65,Jonas läser dikter
P1159171.JPG,5,Hos karaktom,3.5,3.5,,0.5,Jonas läser dikter
P1159171.JPG,6,Polisen,4,4,,0.7,Jonas läser dikter
P1159171.JPG,7,Kärlek,5,5,,0.75,Jonas läser dikter
P1159171.JPG,8,Bortwmma,5,5,,0.55,Jonas läser dikter
P1159174.JPG,1,,2,2,Pinsamt med piss,0.35,Jonas läser dikter
P1159174.JPG,2,,3,3,mer romartid?,0.3,Jonas läser dikter
P1159174.JPG,3,,3,3,,0.7,Jonas läser dikter
P1159174.JPG,4,,4,4,Ganska kul,0.35,Jonas läser dikter
P1159174.JPG,5,,3,3,,0.7,Jonas läser dikter
P1159174.JPG,6,,4,4,,0.55,Jonas läser dikter
P1159174.JPG,7,,5,5,Äntligen lite romantik,0.35,Jonas läser dikter
P1159174.JPG,8,,4,4,Bra,0.55,Jonas läser dikter
P1159180.JPG,1,,3,3,,0.8,Jonas läser dikter
P1159180.JPG,2,,3,3,,0.8,Jonas läser dikter
P1159180.JPG,3,,4,4,,0.75,Jonas läser dikter
P1159180.JPG,4,,4,4,,0.75,Jonas läser dikter
P1159180.JPG,5,,2,2,,0.75,Jonas läser dikter
P1159180.JPG,6,,3,3,,0.75,Jonas läser dikter
P1159180.JPG,7,,3,3,,0.75,Jonas läser dikter
P1159180.JPG,8,,3,3,,0.75,Jonas läser dikter
P1159178.JPG,1,"dröm,ningen, vänner","2,9","2,9",,0.6,Jonas läser dikter
P1159178.JPG,2,"väntran,ningen, eva, telefonen","3,4","3,4",,0.55,Jonas läser dikter
P1159178.JPG,3,,"3,8","3,8",matlagning upp,0.7,Jonas läser dikter
P1159178.JPG,4,,"4,3","4,3",jobbat på sjukhus,0.55,Jonas läser dikter
P1159178.JPG,5,,"3,5","3,5",Tacksamhet,0.7,Jonas läser dikter
P1159178.JPG,6,polisen,"2,5","2,5",mer teater än poesi,0.6,Jonas läser dikter
P1159178.JPG,7,,"3,6","3,6",kärlek,0.5,Jonas läser dikter
P1159178.JPG,8,,"4,2","4,2",,0.7,Jonas läser dikter
P1159181.JPG,1,,3,3,,0.8,Jonas läser dikter
P1159181.JPG,2,,2,2,,0.7,Jonas läser dikter
P1159181.JPG,3,,3,3,,0.8,Jonas läser dikter
P1159181.JPG,4,,4,4,,0.7,Jonas läser dikter
P1159181.JPG,5,,5,5,,0.7,Jonas läser dikter
P1159181.JPG,6,,4,4,,0.7,Jonas läser dikter
P1159181.JPG,7,,3,3,,0.75,Jonas läser dikter
P1159181.JPG,8,,3,3,,0.75,Jonas läser dikter
P1159179.JPG,1,"Sommar, ljumde, lite smutsit, åskan",3.5,3.5,Lite snabbt läst,0.5,Jonas läser dikter
P1159179.JPG,2,"packter, igen, last varldct, bra",3,3,,0.4,Jonas läser dikter
P1159179.JPG,3,"så haretig a, kel thinkel, med Blomkvist, m Blanca",4.3,4.3,"Vacker, fin dikt. Läst väldigt bra.",0.4,Jonas läser dikter
P1159179.JPG,4,"lite rorisig, pangame",4,4,Så härlig och cool vinkel med läkarbesök. Bra slut.,0.4,Jonas läser dikter
P1159179.JPG,5,"Spacepeace, mer läser in 2, poese mer förstär, mullitet",3,3,Lite rörigare men många poänger,0.35,Jonas läser dikter
P1159179.JPG,6,"Var levrsdlet, pa herict, att pa ast",2.5,2.5,Mer teater än poesi. Bättre på slutet.,0.35,Jonas läser dikter
P1159179.JPG,7,"ickling, ondamibbles, o som afst",4.5,4.5,Kärleksdikt på härligt sätt. Bra läst.,0.35,Jonas läser dikter
P1159179.JPG,8,= wlota ore,4,4,"Klurig, orddribbleri och som oftast smart slut",0.25,Jonas läser dikter
P1159183.JPG,1,,3,3,Kul med associationen till Trump,0.6,"Jonas läser dikter
Svårt att inte ge höga betyg. Mycket bra!!! Lycka till! :)"
P1159183.JPG,2,,3.3,3.3,Lätt att följa med genom årmiljonerna,0.55,"Jonas läser dikter
Svårt att inte ge höga betyg. Mycket bra!!! Lycka till! :)"
P1159183.JPG,3,,4.4,4.4,Toppen,0.8,"Jonas läser dikter
Svårt att inte ge höga betyg. Mycket bra!!! Lycka till! :)"
P1159183.JPG,4,,4.6,4.6,Fantastisk,0.8,"Jonas läser dikter
Svårt att inte ge höga betyg. Mycket bra!!! Lycka till! :)"
P1159183.JPG,5,,3.7,3.7,,0.75,"Jonas läser dikter
Svårt att inte ge höga betyg. Mycket bra!!! Lycka till! :)"
P1159183.JPG,6,,4.7,4.7,Lustig/Lustfylld,0.7,"Jonas läser dikter
Svårt att inte ge höga betyg. Mycket bra!!! Lycka till! :)"
P1159183.JPG,7,,4,4,,0.8,"Jonas läser dikter
Svårt att inte ge höga betyg. Mycket bra!!! Lycka till! :)"
P1159183.JPG,8,,3.9,3.9,,0.8,"Jonas läser dikter
Svårt att inte ge höga betyg. Mycket bra!!! Lycka till! :)"
P1159184.JPG,1,upp mot välfärd fördel,3,3,För fort,0.35,Jonas läser dikter
P1159184.JPG,2,recept,3,3,,0.45,Jonas läser dikter
P1159184.JPG,3,brja mot ord i tider,4,4,bra mimik behaglig röst,0.3,Jonas läser dikter
P1159184.JPG,4,Hake huspå strömmar,5,5,Bra med olika röster,0.35,Jonas läser dikter
P1159184.JPG,5,Sprätt pelican,4,4,,0.35,Jonas läser dikter
P1159184.JPG,6,Mäkter om mig,3.9,3.9,,0.3,Jonas läser dikter
P1159184.JPG,7,slagsmål i möjlighet note,3,3,alltiit,0.25,Jonas läser dikter
P1159184.JPG,8,,3,3,,0.2,Jonas läser dikter
P1159185.JPG,1,Kässa ngt,2,2,lite rörigt,0.5,Jonas läser dikter – lyckat!
P1159185.JPG,2,Recept.,"3,9","3,9",,0.5,Jonas läser dikter – lyckat!
P1159185.JPG,3,Recept.,"4,5","4,5","Trevlig, man blir glad",0.55,Jonas läser dikter – lyckat!
P1159185.JPG,4,halvt beslut,"4,8","4,8",Rolig,0.5,Jonas läser dikter – lyckat!
P1159185.JPG,5,Hola hand Shimmar,"4,2","4,2",,0.45,Jonas läser dikter – lyckat!
P1159185.JPG,6,Spökapolis,"4,9","4,9",,0.55,Jonas läser dikter – lyckat!
P1159185.JPG,7,Naila av,"3,5","3,5",,0.4,Jonas läser dikter – lyckat!
P1159185.JPG,8,En man,"3,2","3,2",Många poäng i denna i dagens läge,0.45,Jonas läser dikter – lyckat!
P1159187.JPG,1,Ur djup...,"3,2","3,2","bakåt steg lite oväntat, gav liv till dikten",0.6,Jonas läser dikter
P1159187.JPG,2,"Livets utveckl- ing, väntan","3,8","3,8",kul twist,0.65,Jonas läser dikter
P1159187.JPG,3,recept,"4,2","4,2",,0.6,Jonas läser dikter
P1159187.JPG,4,läkarbesök,"4,7","4,7","Roligt, gillade dialogen",0.7,Jonas läser dikter
P1159187.JPG,5,hela havet stormar,"3,9","3,9",,0.55,Jonas läser dikter
P1159187.JPG,6,språk pen(nan),"4,5","4,5",variation i tonfallet var bra!,0.5,Jonas läser dikter
P1159187.JPG,7,kärlek,"3,5","3,5",känsla av kärleksrus,0.55,Jonas läser dikter
P1159187.JPG,8,slangek,"4,8","4,8",kvick,0.6,Jonas läser dikter
P1159188.JPG,1,"""eHan""","2,5","2,5",,0.5,Jonas läser dikter
P1159188.JPG,2,"""Väntan""",3,3,Fina liknelser,0.6,Jonas läser dikter
P1159188.JPG,3,"""Recept""","3,5","3,5",Imponerande,0.5,Jonas läser dikter
P1159188.JPG,4,"""läkarbesök""","4,5","4,5","Glad dikt, rolilg.",0.5,Jonas läser dikter
P1159188.JPG,5,"""shotruths""",4,4,Bra,0.4,Jonas läser dikter
P1159188.JPG,6,"""Polisen""",5,5,Bäst hittills! Rolig,0.6,Jonas läser dikter
P1159188.JPG,7,"""Haloné""",5,5,Du läser bra!,0.5,Jonas läser dikter
P1159188.JPG,8,"""En man""",5,5,mkt trevlig!,0.5,Jonas läser dikter
P1159182.JPG,1,"Depression, UFO, längta bort, sin grade/Skövde","2,5","2,5",+ vykort,0.7,"nej, nej: ni vm tri
Jonas läser dikter"
P1159182.JPG,2,"Tid, sannolikt, ner gyma, NFi?","2,5","2,5","+ anaforer, flyt",0.6,"nej, nej: ni vm tri
Jonas läser dikter"
P1159182.JPG,3,"reget, du/ fin, kuddar/ nuddar","1,9","1,9","- rimmen
- skriva på näsan",0.65,"nej, nej: ni vm tri
Jonas läser dikter"
P1159182.JPG,4,"roligförtsätt, rolig/förtätt, meta-självkänsla, självlyserna",3.5,3.5,"+""godartat humör"" hjärta",0.55,"nej, nej: ni vm tri
Jonas läser dikter"
P1159182.JPG,5,"fyka posten, kaiser","3,7","3,7",mer teater!,0.6,"nej, nej: ni vm tri
Jonas läser dikter"
P1159182.JPG,6,"polisen i ideon, djurets beteende, ölet en bam bak",2.7,"2,7",+bra karaktärer -förklemande slut - slutet + framförande,0.55,"nej, nej: ni vm tri
Jonas läser dikter"
P1159182.JPG,7,"katek, självkänsla, toarulls?, ""k.""",1.7,1.7,För mycket repetition,0.5,"nej, nej: ni vm tri
Jonas läser dikter"
P1159182.JPG,8,Stryk av sig själv? origin story,2.5,2.5,+ dynamisk volym! +framförandet!,0.5,"nej, nej: ni vm tri
Jonas läser dikter"
P1159186.JPG,1,Ur en gång nådepression kärer i sången,4.5,4.5,"målande, livlig beskrivning, stor inlevelse",0.5,Jonas läser dikter
P1159186.JPG,2,Jag väntade,3.55,3.55,,0.6,Jonas läser dikter
P1159186.JPG,3,Recept,4,4,vackert slut,0.6,Jonas läser dikter
P1159186.JPG,4,Läkardesk,5,5,"mycket rolig och skrattretande, passande för sjukhuspersonal",0.45,Jonas läser dikter
P1159186.JPG,5,Hela havet Stormar,2,2,"Dramatisk, lösning av problem",0.5,Jonas läser dikter
P1159186.JPG,6,Språkpolisen,"4,4","4,4","kul, underfundis rivig fartfyllt, kroppsinlevelse",0.4,Jonas läser dikter
P1159186.JPG,7,Mäla av,3.5,3.5,,0.6,Jonas läser dikter
P1159186.JPG,8,Kommandel Slagsmål,3.9,3.9,"Problemlösning, ordet är starkare än svärdet",0.4,Jonas läser dikter
P1159190.JPG,1,,4,4,,0.9,Jonas läser dikter
P1159190.JPG,2,,"2,5","2,5",,0.9,Jonas läser dikter
P1159190.JPG,3,,"3,8","3,8",,0.85,Jonas läser dikter
P1159190.JPG,4,,"4,2","4,2",,0.85,Jonas läser dikter
P1159190.JPG,5,,4,4,,0.9,Jonas läser dikter
P1159190.JPG,6,,"4,5","4,5",bra inlevelse,0.85,Jonas läser dikter
P1159190.JPG,7,,3,3,,0.9,Jonas läser dikter
P1159190.JPG,8,,"4,5","4,5",,0.9,Jonas läser dikter
P1159191.JPG,1,like fort c 100 pjum,"3,8","3,8",Lite fort i början,0.5,Jonas läser dikter
P1159191.JPG,2,,"3,5","3,5",,0.8,Jonas läser dikter
P1159191.JPG,3,,"3,5","3,5",,0.8,Jonas läser dikter
P1159191.JPG,4,,"4,5","4,5",,0.8,Jonas läser dikter
P1159191.JPG,5,,3,3,,0.8,Jonas läser dikter
P1159191.JPG,6,,3,3,,0.8,Jonas läser dikter
P1159191.JPG,7,,"3,3","3,3",,0.8,Jonas läser dikter
P1159191.JPG,8,,"3,7","3,7",,0.6,Jonas läser dikter
P1159189.JPG,1,mest deprigeriv w/mån,4,4,Fantasifyllt - eller,0.5,2 personer arter poem / Jonas läser dikter
P1159189.JPG,2,Väntan historiska Månader,3.7,3.7,,0.5,2 personer arter poem / Jonas läser dikter
P1159189.JPG,3,Accept,4.4,4.4,,0.6,2 personer arter poem / Jonas läser dikter
P1159189.JPG,4,Godarat Humor Entusiasm,4.8,4.8,Entusiasm epidemisk.,0.55,2 personer arter poem / Jonas läser dikter
P1159189.JPG,5,Skolkravarna Helo ADHD,4.4,4.4,→ Rolig,0.5,2 personer arter poem / Jonas läser dikter
P1159189.JPG,6,Språk- polisen,4.9,4.9,"Roligare. Bli skådespelare, komiker",0.4,2 personer arter poem / Jonas läser dikter
P1159189.JPG,7,KÄR,4.7,4.7,"Sensmoral, nu vågar ingen bli kär",0.45,2 personer arter poem / Jonas läser dikter
P1159189.JPG,8,Barnedd- ens,4.5,4.5,,0.35,2 personer arter poem / Jonas läser dikter
P1159192.JPG,1,,1,1,,0.55,Jonas läser dikter
P1159192.JPG,2,,5,5,,0.5,Jonas läser dikter
P1159192.JPG,3,,5,5,,0.6,Jonas läser dikter
P1159192.JPG,4,,5,5,,0.6,Jonas läser dikter
P1159192.JPG,5,,4,4,,0.6,Jonas läser dikter
P1159192.JPG,6,,5,5,,0.6,Jonas läser dikter
P1159192.JPG,7,,5,5,,0.6,Jonas läser dikter
P1159192.JPG,8,,3,3,,0.6,Jonas läser dikter
P1159195.JPG,1,,5,5,strålande framfört,0.5,Jonas läser dikter
P1159195.JPG,2,,3,3,också bra,0.4,Jonas läser dikter
P1159195.JPG,3,känsigt,3,3,finurlig,0.5,Jonas läser dikter
P1159195.JPG,4,,5,5,vilken inlevelse,0.4,Jonas läser dikter
P1159195.JPG,5,,3,3,mycket bra,0.5,Jonas läser dikter
P1159195.JPG,6,,3,3,bra,0.6,Jonas läser dikter
P1159195.JPG,7,,4,4,fantastiskt att leka med ord,0.3,Jonas läser dikter
P1159195.JPG,8,,4,4,mycket bra man blir stum,0.3,Jonas läser dikter
P1159193.JPG,1,,2,2,svårt att hänga med i dikten,0.6,"Du är bra, bäst Jonas! ♥ Jonas läser dikter"
P1159193.JPG,2,,3,3,tycker det går för fort,0.6,"Du är bra, bäst Jonas! ♥ Jonas läser dikter"
P1159193.JPG,3,"""vänta""",3.5,3.5,Bra och rolig!,0.5,"Du är bra, bäst Jonas! ♥ Jonas läser dikter"
P1159193.JPG,4,,4,4,Jättebra och rolig!,0.5,"Du är bra, bäst Jonas! ♥ Jonas läser dikter"
P1159193.JPG,5,,4,4,Åh så bra!,0.55,"Du är bra, bäst Jonas! ♥ Jonas läser dikter"
P1159193.JPG,6,,2.5,2.5,Hängde inte med! Svår,0.4,"Du är bra, bäst Jonas! ♥ Jonas läser dikter"
P1159193.JPG,7,,2.5,2.5,Hängde inte med!,0.6,"Du är bra, bäst Jonas! ♥ Jonas läser dikter"
P1159193.JPG,8,,3,3,Går för fort ibland,0.4,"Du är bra, bäst Jonas! ♥ Jonas läser dikter"
P1159197.JPG,1,,3,3,,0.9,Jonas läser dikter
P1159197.JPG,2,Förloke,4,4,,0.6,Jonas läser dikter
P1159197.JPG,3,Smel,"3,5","3,5",,0.6,Jonas läser dikter
P1159197.JPG,4,Hrs döldeln,"4,5","4,5",,0.5,Jonas läser dikter
P1159197.JPG,5,Hel. kurvet Stämmer,4,4,,0.5,Jonas läser dikter
P1159197.JPG,6,Lä's e. bom,"4,5","4,5",,0.5,Jonas läser dikter
P1159197.JPG,7,,"3,8","3,8",,0.7,Jonas läser dikter
P1159197.JPG,8,,"4,8","4,8",,0.7,Jonas läser dikter
P1159194.JPG,1,Evald Fiman / Om depression / Resa i/från,4.5,4.5,Fantastiska rim!,0.55,"Jonas läser dikter. Lycka till förda visioner (kantanteckning). Du är... (kantanteckning vänster sida, svårläst)"
P1159194.JPG,2,Evald Fiman,5,5,Såå fin!!,0.45,"Jonas läser dikter. Lycka till förda visioner (kantanteckning). Du är... (kantanteckning vänster sida, svårläst)"
P1159194.JPG,3,Scecept,4.5,4.5,Vissa partier lite för snabba för old folks,0.45,"Jonas läser dikter. Lycka till förda visioner (kantanteckning). Du är... (kantanteckning vänster sida, svårläst)"
P1159194.JPG,4,Hts dikthem / erfarenso,5,5,Rolig. Mitt i prick.,0.4,"Jonas läser dikter. Lycka till förda visioner (kantanteckning). Du är... (kantanteckning vänster sida, svårläst)"
P1159194.JPG,5,Existensiel / ao ojest,5,5,"Spannande grepp, oväntat grepp, toppen!",0.35,"Jonas läser dikter. Lycka till förda visioner (kantanteckning). Du är... (kantanteckning vänster sida, svårläst)"
P1159194.JPG,6,Språkpobus,4,4,,0.4,"Jonas läser dikter. Lycka till förda visioner (kantanteckning). Du är... (kantanteckning vänster sida, svårläst)"
P1159194.JPG,7,Kd,4,4,Underbara rim,0.4,"Jonas läser dikter. Lycka till förda visioner (kantanteckning). Du är... (kantanteckning vänster sida, svårläst)"
P1159194.JPG,8,Thecka srej,4.5,4.5,Mycket humor,0.4,"Jonas läser dikter. Lycka till förda visioner (kantanteckning). Du är... (kantanteckning vänster sida, svårläst)"
P1159196.JPG,1,Om rymden,3,3,Vilken fantasi!,0.5,Jonas läser dikter
